name,img,captions,image_text
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1762).jpg,a stuffed animal sitting on top of a bed, another year of my life but this time it's not my fault.. FB /SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3387).jpg,"a text message that reads, ' i have crush you '", 8.38 PM crush on you big Like a dinosaur Message Today huge Very hey
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (313).jpg,a woman in a red dress and a man in a suit," SARCASMI Daughter, is that you?"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (276).jpg,a drawing of a person with a light bulb and a rainbow flag,
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (683).jpg,a man in a suit is yelling at another man in a suit, Non-permable membrane of a solution containing concentration of salt Het me in Water molecules
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1374).jpg,sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad sad," wind blows a woman's skirt up, and the same wind blows dust into your eyes. And u end up seeing nothing"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3077).jpg,a sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge," *Money can't buy happiness!!"" *Me with money: Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3854).jpg,"a woman and a child sitting on a couch with the capt that says, have daughters you care with", Have a daughter so you can argue with a version of yourself every single morning. Sarcasm tiny
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3980).jpg,"a quote that says, always a day and pen to office", Always carry a diary & pen to office meetings. Acting is very important for career growth. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1285).jpg,a child and a girl are standing in front of a house," ""You look like Brother & Sister! So cute Me & my bf:"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3789).jpg,text messages that are too too," Savage! How old is your girlfriend? 41 HAHAHAHA, she could be your mom but she is yours IAa"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2280).jpg,"doctor, meme, and doctor meme doctor meme please me", Doctor: How are Me: I'm fine Doctor: Next patient please Me: you?
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1367).jpg,a man with glasses pointing at the camera," See this 1 old girl posting "" remember to add ""K"" to the ""boo' Rodfan memes Ayr"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (776).jpg,a man with a beard and a quote on it, What happens if someone
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (497).jpg,a tattoo with a heart on it, V. Jatin @JatinTweets_ Only Legends know about this tattoo
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3115).jpg,a quote that says nobody ' s your friend they ' re, Nobody's your friend until they defend your name in your absence. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2781).jpg,a little girl laying on a bed with a cat, Dad: *Buys her daughter a cat so she doesn't look into the phone so much* The daughter and the cat : Sarcasm
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (210).jpg,a man in a red suit is standing on a stage, Your brain automatically translates wtf but not
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4238).jpg,spider spider spider spider spider spider spider spider spider spider spider spider spider spider spider spider spider spider spider spider, spider doing absolutely nothing* Me: *A
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2712).jpg,a girl with long hair and a white shirt smiling," Girls are simple Their yes means yes , No means yes , & no means no & no means maybe , but means yes. maybe"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2569).jpg,a man sitting down reading a book, GF: | know him better Best friend: FB /Sarcasmlol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (608).jpg,three babies wearing t - shirts with the words i was not, [WAS neither
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4514).jpg,engineering students that graduate 2020, Engineering students that graduated online in 2020 Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3564).jpg,harry and hermik watching harry and hermik watching harry and hermik watching harry and, Harry! Someone is watching us..
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4594).jpg,the mystery never solve airpods, 0 11 % 5 65 % Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1249).jpg,two lions standing in the grass with their mouths open, Me and my best friend in serious moment ISarcasmlol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2136).jpg,"never stop praying ever after the prayer, never praying ever after the prayer, never praying ever after the", Never Stop Praying what you were praying for!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3858).jpg,a woman with a phone in her hand, need a girl who cries when I don't text Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3029).jpg,a gas station with a car parked at the gas station, She: Take me on expensive date. He: Sarcasm
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (45).jpg,a doctor with a stey face and a stey stey face," Steps So you're taking more steps than you normally do. Today Average 10 steps 8 steps helth far,"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2802).jpg,a text message with the texting app on it, Jasmine last seen: today at 11.34 Hi darling 11.30 Hi do u know how to block someone on WhatsApp? 11.31 Yes dear. 11.31 Tell me pleasel! 11.34 Go to settings > privacy > block list > add contacts. blocked 11.36 Did it workout? Hello.?there?? 11.37 Why did you remove dp?? 11.37 Ok! understood 11.38 get your
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (857).jpg,a silhouette of people kneeling in the grass with the words respect respect respect respect respect respect respect respect respect," Respect all religions Bcoz, they all give holidays to everyone"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (257).jpg,a picture of a person holding a camera, New YOUTUBE ADS ARENT SCAMS Way
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3732).jpg,seri - gass fht in classier level of entertainment, in class is another level of entertainment. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4103).jpg,"a child in a suit and tie with the words, my mom is a boss", mom gave My mom took money to it back from me relatives kid He gave it She gave to his mother mom: Sarcasm This is business. My My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3608).jpg,a man in a suit sitting at a desk, Computer: Press any key to continue Me *presses power key* Computer: Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2726).jpg,"a text message that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` `", Mr. Bean If you are single please sleep early . Good Night. 9h Like Reply 187 View previous 5 replies
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2605).jpg,"a text message that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` `"," Epic! FB/Sarcasmlol 10.52 PM Without you, 60 minutes feels like an hour Aww really? Aa baby"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4439).jpg,a quote that says students are using their own to learn, Students these days kissing used to exchange my bench with a good one FB/SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3651).jpg,a man laying on a couch with his head in his hands," When you order a book called ""how to scam people' and it's still not here after 4 months Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3928).jpg,a child in a suit with the capt that says if you ' reting for me to message you," If you're waiting for me to message you first, we Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2750).jpg,"a black circle with the words, ` ' zon in the black circle you ' ll ' t", Zoom in the black circle and you'll find a Legend
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3443).jpg,a black and white poster with the words girls can ' t remember they ' re," Girls can't remember where left their hair pins, but they remember what you said 2 years ago on Friday at 9.27 pm. Sarcasm they"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4836).jpg,a person laying in bed with a laptop, sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2690).jpg,"me tus f ej because it ' s too, it ' s too, it ' s", Me: turns off the big fan because it's too loud. Everyone else in the helicopter: Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2223).jpg,a man with a beard and a grey shirt, Girlfriend: You've never smiled at me since we started dating. Boyfriend: thought you said you wanted a serious relationship.
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3676).jpg,not ' r ' a bad joke," Look at me, I'm someone's ex and I'm the best. Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3856).jpg,a young boy sitting on a couch with his head in his hands, When mistakenly use personality Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2853).jpg,a cartoon character sitting at a desk with a computer, That moment when you save a file as afagftgwj and it already exists. FB/Sarcasmlol
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (767).jpg,the periodic of the element of the element of the periodic, Pr mercury Ta 80 Hg Sr 200.59 H without U is just toxic. NATIONAL GEOGRAPHIC CHANNEL 50 Ahug
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (347).jpg,someone is a person who is a person who is a person who is a person who is a person, that one missing piece ONE BILLION DOLLARS
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1850).jpg,"a smiley face with sunglasses on it and the capt reads, ` ` ` ` ` ` ` `", This is how you should use emojis FB/Sarcasmlol 10.43 10.43
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3689).jpg,i was in meeting - daydree from the end of the daydree, was in a meeting today where the room find the room and nobody understood. friends. Sarcasm
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (655).jpg,sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge sponge," When you make a joke in front of your psychologist & instead of laughing, she starts writing it down"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4721).jpg,"a woman driving a car with the capt that reads when you ' reting, you ' reting", When you both said good night again see each other online. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4784).jpg,willy and the mad - willy and the mad, DID THE MIDDLE OF MY SENTENCE INTERRUPT THE BEGINNING OF YOURS?
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1105).jpg,"a cartoon character with a capt that reads, ` ` ' ' ' ' ' ' ' ' '", me: 3
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4485).jpg,a cartoon character with a capt that reads superhero movies," Sarcasm Superhero movies Advanced technology can't explain Superhero movies ""Nanotech"" they"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (915).jpg,a woman in a space suit and an astronaut in a suit, Went to the Went to the moon bathroom Took 5 photos Took 105 photos
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2275).jpg,a bunch of people are standing in an airport, Before Boarding the plane FB/Sarcasmlol 30 mins later
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4335).jpg,a keyboard with the words ' mysh keyboard ', crush's keyboard Sarcasm 0 H K M return My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4310).jpg,"a quote that says, will transfer to anyone who are these words correctly??????"," will transfer 5k to anyone who arrange these words correctly ""Money | your don't want Sarcasm"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (396).jpg,iron man memememememememememememememememememe, IRON MAN
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (768).jpg,first man on the moon, First Man On Moon Camera Man
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (550).jpg,construction workers working on a building site,
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1310).jpg,a man and woman are standing in front of a car," When a man opens the You can be sure of one thing, either the car is new or the wife is"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (578).jpg,a cartoon drawing of a baby meme and a smiling face, Baby; tell me the spelling of 'Happiness
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1909).jpg,someone memesme mememe mememe meme memememe mememe me," are u wearing that again? Me: Bcoz for it, and | have a washing machine. Why paid"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (748).jpg,"a man with a beard and a quote that says, your boyfriend is a man"," a passport is telling you that ""You're the most beautiful girl in the world"" @unfunnyrajat"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1993).jpg,a man with a mustache and a heart on his chest," Slowly losing friends is a part of growing up, It's ok to have less but real ones"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (342).jpg,a cartoon picture of a group of people,
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (813).jpg,a man with a long haircut and a beard, The haircut you want The haircut your mom wants you to have
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4586).jpg,"just look at yourself, just look at yourself, just look at yourself, just look at yourself,"," Just look at yourself, no crush, no relationship, no one to text, just laying in bed like a potato scrolling TikTok. Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1189).jpg,"a red background with a white text that reads, ' my funeral needs to be '", At my funeral I need one of my niggas to make sure my sidebitch don't family car try
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2370).jpg,nobody is your back like you mom love while she still has, Nobody has your back like your mom Love her while she's still alive
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (668).jpg,a blue pen, NEW NOW LONGER' Warer Coatod
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (538).jpg,"a man with a mustache and a capt that says, what is it called??", What is it called when your crush has a crush on Imagination! you?
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4361).jpg,"a cartoon character with a capt that reads, you ' ret i ' veggt here the"," ""You're the first girl I've brought here The Bartender: Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4857).jpg,a man sitting at a desk with a laptop, How to use a laptop to feel great! sarcasm *Me
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4272).jpg,a man in a black jacket talking on a cell, Started the year single. Ending the year single. Consistency is key.
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (908).jpg,a woman in white shirt and shorts on the beach, Relationship Goals
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (752).jpg,a girl is smiling and pointing at the camera, Girls after scoring 97/100 Boys after scoring 40/100
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2327).jpg,a line of arches with the words ` ' ' and ' ' ' ', Other people's fingernails: FB/SarcasmLol finger nails: My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3627).jpg,a man in a suit and tie is talking on the phone, Welcome to my country where parents remove their glasses just to hear exactly what you're saying Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3418).jpg,a girl with long hair and a black top is shown in four different ways, is like a phone without service FB/SarcasmLol And what do you do You play games. with a phone without service?
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2199).jpg,a little girl is crying while her father is sleeping in bed, [SarcasmLol chatting with someone else She:
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (211).jpg,a woman with a face full of makeup, drinking water drinking water from bathroom from kitchen sink sink society made with mematic society
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3369).jpg,a picture of some food that is on a table, 5 HEINZ Vegetable Fruit Sarcasm Salad
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1791).jpg,a man in a black shirt and sunglasses sitting on a chair, When teacher use my name as a good example Me: FB/SarcasmLol
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2724).jpg,a coin sitting on top of a wooden table," Me: Heads, you be my girlfriend. Tails, be your boyfriend. Her: ok The coin:"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2694).jpg,a man in an orange jacket talking on a cell," Ctrl + C, then Ctrl + V Sarcasm Ctrl + CCCCC,"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1505).jpg,"my neighbor obviously doesn to watch porn, he asked me to six hours ago and i ' m '", neighbor obviously doesn't watch hours ago and I'm still fixing her sink. My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4593).jpg,a text message with the words ' i ' m ' and ' i ' m ', am to pm So?? So i decided to dm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1181).jpg,a cartoon drawing of two people running and one is saying how to get a girl in two ways, How to get a girl mad in two easy steps: 1. Take a picture of her
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3948).jpg,"a white power strip with the words, when you ' re, you ' re", posts Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3224).jpg,"a quote that says, some boys never cry but they look to be from woman another", Some boys never go gym but they look fit bcoz of running from one woman to another. Sarcasm
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (136).jpg,"a man in a suit and tie is talking to another man in a suit and tie text reads,", Are you woman You accepted the request yes Ok 51 AM Why Why are you Woman?
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3783).jpg,a green text box with the words ' we have one ', The Friend That Sends Sarcasm You Messages Like
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3468).jpg,"i will rather, i will not be in the same place, but i will not be in the", will rather visit 4 countries in two weeks than feed 500 people at my wedding Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2953).jpg,a text message that reads i ' ver ', give C Crush iMessage That playlist you made for me was AMAZING Thanks lol it took me like two hours to make Glad you liked it! boyfriend took me on a date and we listened to it the ENTIRE time That's great! Love u sm buddy <3 up! My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3042).jpg,a statue with an angel on it ' s back, guardian angel when assigned to me Sarcasm they My got
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3899).jpg,a cartoon of a woman sitting on a couch with a man in the background, I'm ignoring you.. [Sarcasmlol I'm ignoring Don't ignore me! I'm ignoring you!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1089).jpg,a cartoon character with a capt that reads when you ' reting your name when you ' reting, When i put this is what i really mean
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2063).jpg,a dinosaur and a man in the background, Her Her attitude height
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (817).jpg,a man sitting at a desk with a laptop, Job interviews on Skype be like..
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (468).jpg,"a man in a wrestling ring with the capt that reads, ` ` ' '", This guy streamed the whole UFC fight wouldn't be taken down for copyright 346 ILLUSION 100
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1492).jpg,text that reads ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` ` `, video about the lacture on YouTube. ME 8.20 PM Report video Sexual content Violent or repulsive content 0.01 Hateful or abusive content Harmful dangerous acts Child abuse Ho Infringes my rights
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2380).jpg,a man with a shark face and a shark mouth, Close enough!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1056).jpg,texting is the best way to say someone," Hello You look in your profile picture got your number from a 1019 on the pic 102 Ok, Bive me her number 1023 Today Hey good"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4197).jpg,"a man in a tuk suit pointing at the camera with a capt that reads, ` ` `"," Once you stop watching TV, there is no turning back. Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (798).jpg,justin and justin are the same person, Eminem Justin bieber -16 grammy -1 grammy oscar -2 diamond -0 diamond ~3OOmillion ~2Omillion album sale of the 10 artist of his decede Like Reply 482 15 hrs
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4430).jpg,relationship quotes relationship quotes relationship quotes relationship quotes relationship quotes relationship quotes relationship quotes relationship quotes relationship quotes, Relationships are only serious when photos are posted Sarcasm by
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (722).jpg,a mememememememememememememememememememe, Mario Inventor Counter Strike Inventor Clash of clans Gta Inventor inventor Thanks For Inventing This Games #Respect MA
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (507).jpg,i wonder why it ' s not clear why it ' s not clear, cleaning any straight surface
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (341).jpg,a man in a red hat and a red cap is seen on the screen, send me pussy wtf that's me 0 Message. pics
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3555).jpg,"when you ' re from your phone, you ' re from your phone, you ' re from your", When she goes through your phone to see if you're cheating but only find memes Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4155).jpg,a baby is being a bottle of water, crush giving me the and asking me to deliver it to her crush Sarcasm gift My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1857).jpg,"a plane flying over a field with a capt that reads, ' year 200 years '"," Year 2000 2020 we will have flying cars"" Year 2020 ""Even the planes are not flying"" ""By"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3330).jpg,memememememememememememememememememememe, Me on new years eve 11.59 12.00 12.01
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1955).jpg,the avengers movie is a funny and hilarious thing, If you think you're smart then spell it S-M-A-R-T said IT FB /SarcasmLol spell
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3831).jpg,a quote with the words ' listen to me ' and ' listen to me ', Listening to sad music to feel better because negative plus negative equals positive. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (184).jpg,a girl is texting on her phone while she is texting," Hey, What are Texting the most beautiful girl in the you doing? world Yes_ But she's not Aww! How Cute! replying.. So texting you._"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4113).jpg,two texts that are being sent to someone," Video call? Im gonna charge my phone now Okay later? phone takes 2 to charge. Sent Aa Sarcasm No, days My"
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (528).jpg,a gun with a rainbow colored handle and a rainbow colored handle, 391 0n Share Radzult It only shoots gay people. Share cursedrobot 3h Scorched 2h
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4383).jpg,a text message that reads ` ` ` ` ` ` ` ` ` ` ` ` ` ` `, yo You single? Hold up I'm still looking at your pictures Nah I'm taken hey
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1803).jpg,"a man in a shirt with the words, ' we know you can ' t the world for you", Husband: But you keep fighting with me only. Wife: Cause you're my world babe Husband: ISarcasmLol
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (639).jpg,normal computers yes quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum quantum," NORMAL COMPUTERS: Yes QUANTUM COMPUTERS: Well yes, but actually no"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2130).jpg,"a man with a smile on his face and the capt says, ` ` ` ` ` ` `", brain: Go check in the mirror if you look cute while crying. My
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (297).jpg,memechan memechan memechan memechan memechan memechan meme, Others with a time machine: the future Me with a time machine: Ok Use these to defend people from the
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1334).jpg,a group of men who are looking at the camera, 3 California men arrested for illegal sale of avocados totaling more Ghost Theres like people getting murdered and yall out here arresting fucking avocado dealers
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (945).jpg,"a man is sitting on a woman ' s lap and the text says, ` ` ` ` `"," There is always that one guy in every gang Yes, We Exist!"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (770).jpg,never give up - funny,
high_iq_memes,high_iq_memes_photo_1@26-11-2021_16-56-41 (338).jpg,a screenshot of a red light in the dark, Majora 24 minutes ago free palestine 29 REPLY Hide 5 clash royale 24 minutes ago Free gems in Clash Royale 19 REPLY replies king
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4231).jpg,a cartoon character with a red hair and a green jacket, Devil: What brings you to hell? Me: l used to lower the brightness on my Grandma's phone and asked her for money to repair it. Sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1110).jpg,"a text that reads, ' i ' ver '", kylie_jenners_sidenigga Follow side nigga for five years and your boyfriend happens to breakup trying to no promotion. Come back to me when you find a man. your get
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1773).jpg,a text message with the words ' i love you ' and ' i love you ', Mutual Understanding love you too 11.01 a. m. promise 11.02 a. m. Who's Sandra? 11.02 a. m. love you love you too Hey baby
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1474).jpg,a white cat standing on the floor with its head down, Nobody Boys front of mirror after gym doing
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4266).jpg,everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone everyone," Everyone is excited for FIFA world cup Sarcasm Me who know the name of Messi , Ronaldo and Neymar only!"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1075).jpg,a person holding a cell phone with a hammer, use 100% of our brain? Hammer
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1336).jpg,a child with a sad look on his face, The thieves there have no souls After robbing me said dance for us to show that they
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1243).jpg,me waiting for a relationship when someone likes me, Me waiting for a relationship When someone likes me
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1304).jpg,a man on skis is shown in the bottom right corner of the frame," He has no legs, climbs everest What's your excuse? Like Reply legs"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (3775).jpg,a man sitting at a desk with a laptop and a woman standing behind him, will ignore him all day Sarcasm This is the best day
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4200).jpg,"a cartoon of a girl with a face and a capt that reads, my profile", profile pic face in a video call Sarcasm My My
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4625).jpg,"a quote that says, ' all someone loves you ' ret i don ' t"," Allow someone to love you. You're getting old. Don't skip my post, I'm talking to you. Sarcasm"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2859).jpg,i love you in pure single, pure single.. Sarcasm I'm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1998).jpg,a cartoon character and a cartoon character are in the same position," First law of cartoon physics: ""Gravity doesn't work until you look down"""
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (683).jpg,a little girl is playing with a dog, Those Friends Who has a habit of fingering everywhere!
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4789).jpg,a man smiling with the capt that says that he ' s not afraid, That one guy who's a mutual friend in every girl's friendlist sarcasm
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4135).jpg,a clock on the side of a building," ""You'll meet your love of Life : Sarcasm My"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (676).jpg,"texting that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` ` `", Savage! Yes dear. Tell please ! thatsit those contact blocked Ok / understood gets
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (250).jpg,a dog is walking across the street in front of a car, [SARCASMI Just another peaceful night in South Africa
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4172).jpg,"a text message that reads, ` ` ` ` ` ` ` ` ` ` ` ` ` `", whyídid heleave you? story Sarcasm Tell mewhat
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2743).jpg,"text when you ' re, when you ' re, when you ' re, when you ' re", When your When your friend crush wishes you HHBD Happy Birthday Bro you hhave a blessed ahead Thank you so much It really means alot. you get Ty life May life May
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (1077).jpg,a woman in a red jacket and black pants is hugging a man in a red jacket, 9 hrs slavery Veracruz Supermarket
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (4024).jpg,a man in a suit and tie standing on a desert," She finally texted me after 2 now i will make her wait for 22 seconds days,"
sarcasm,sarcasm_photo_2@10-05-2017_04-33-57 (2077).jpg,a man and woman laying in bed with the capt that reads he must be thinking about her," Her: He must be thinking about other woman. Me: If my son becomes a priest, will | call him son or father?"
